OM_CATEGORY_LABEL,FSQ_BEST_LABEL,FSQ_BEST_ID,FSQ_BEST_PRIMARY,FSQ_BEST_SECONDARY,BEST_SCORE,FSQ_ALT1_LABEL,ALT1_ID,ALT1_SCORE,FSQ_ALT2_LABEL,ALT2_ID,ALT2_SCORE,NEEDS_REVIEW
vending_machine_supplier,Business and Professional Services > Paper Supplier,11132,Business and Professional Services , Paper Supplier,64.1,Business and Professional Services > Metals Supplier,11122,62.4,Business and Professional Services > Leather Supplier,11110,62.4,TRUE
granite_supplier,Business and Professional Services > Leather Supplier,11110,Business and Professional Services , Leather Supplier,74.3,Business and Professional Services > Paper Supplier,11132,73.4,Business and Professional Services > Electrical Equipment Supplier,11032,72.6,TRUE
cement_supplier,Business and Professional Services > Industrial Equipment Supplier,11105,Business and Professional Services , Industrial Equipment Supplier,78.9,Business and Professional Services > Electrical Equipment Supplier,11032,78.9,Business and Professional Services > Scientific Equipment Supplier,11161,78.9,TRUE
b2b_hardware,Retail > Hardware Store,17090,Retail , Hardware Store,78.8,Retail > Board Store,17017,51.0,Retail > Baby Store,17014,46.7,TRUE
scale_supplier,Business and Professional Services > Refrigeration and Ice Supplier,11154,Business and Professional Services , Refrigeration and Ice Supplier,78.8,Business and Professional Services > Metals Supplier,11122,78.3,Business and Professional Services > Paper Supplier,11132,78.2,TRUE
aluminum_supplier,Business and Professional Services > Petroleum Supplier,11136,Business and Professional Services , Petroleum Supplier,71.5,Business and Professional Services > Metals Supplier,11122,70.8,Business and Professional Services > Paper Supplier,11132,69.6,TRUE
stone_supplier,Business and Professional Services > Industrial Equipment Supplier,11105,Business and Professional Services , Industrial Equipment Supplier,77.0,Business and Professional Services > Metals Supplier,11122,77.0,Business and Professional Services > Plastics Supplier,11141,77.0,TRUE
awning_supplier,Business and Professional Services > Paper Supplier,11132,Business and Professional Services , Paper Supplier,73.0,Business and Professional Services > Electrical Equipment Supplier,11032,72.5,Business and Professional Services > Industrial Equipment Supplier,11105,72.5,TRUE
beverage_supplier,Business and Professional Services > Rubber Supplier,11159,Business and Professional Services , Rubber Supplier,73.8,Business and Professional Services > Paper Supplier,11132,72.9,Business and Professional Services > Leather Supplier,11110,72.2,TRUE
beauty_product_supplier,Business and Professional Services > Paper Supplier,11132,Business and Professional Services , Paper Supplier,64.7,Business and Professional Services > Petroleum Supplier,11136,64.1,Business and Professional Services > Rubber Supplier,11159,63.8,TRUE
b2b_science_and_technology,Business and Professional Services > Technology Business,11167,Business and Professional Services , Technology Business,68.0,Community and Government > Education > College and University > College Technology Building,12039,63.6,Arts and Entertainment > Museum > Science Museum,10031,59.3,TRUE
abrasives_supplier,Business and Professional Services > Plastics Supplier,11141,Business and Professional Services , Plastics Supplier,72.0,Business and Professional Services > Metals Supplier,11122,70.0,Business and Professional Services > Paper Supplier,11132,69.6,TRUE
natural_gas_supplier,Business and Professional Services > Metals Supplier,11122,Business and Professional Services , Metals Supplier,69.8,Business and Professional Services > Paper Supplier,11132,66.8,Business and Professional Services > Leather Supplier,11110,65.4,TRUE
b2b_dairies,Retail > Baby Store,17014,Retail , Baby Store,48.8,Retail > Hobby Store,17091,48.3,Retail > Food and Beverage Retail > Dairy Store,17064,45.2,TRUE
tableware_supplier,Business and Professional Services > Leather Supplier,11110,Business and Professional Services , Leather Supplier,72.6,Business and Professional Services > Rubber Supplier,11159,72.4,Business and Professional Services > Paper Supplier,11132,72.3,TRUE
box_lunch_supplier,Business and Professional Services > Petroleum Supplier,11136,Business and Professional Services , Petroleum Supplier,68.2,Business and Professional Services > Paper Supplier,11132,68.1,Business and Professional Services > Metals Supplier,11122,67.4,TRUE
water_softening_equipment_supplier,Business and Professional Services > Scientific Equipment Supplier,11161,Business and Professional Services , Scientific Equipment Supplier,74.8,Business and Professional Services > Industrial Equipment Supplier,11105,74.7,Business and Professional Services > Electrical Equipment Supplier,11032,73.9,TRUE
b2b_jewelers,Retail > Fashion Retail > Jewelry Store,17045,Retail , Fashion Retail ,54.7,Dining and Drinking > Brewery,13029,43.9,Business and Professional Services > Wholesaler,11179,43.6,TRUE
sand_and_gravel_supplier,Business and Professional Services > Refrigeration and Ice Supplier,11154,Business and Professional Services , Refrigeration and Ice Supplier,70.5,Business and Professional Services > Paper Supplier,11132,70.0,Business and Professional Services > Metals Supplier,11122,69.3,TRUE
b2b_machinery_and_tools,Landmarks and Outdoors,16000,Landmarks and Outdoors,,56.4,Business and Professional Services > Machine Shop,11118,54.7,Landmarks and Outdoors > Other Great Outdoors,16030,51.7,TRUE
thread_supplier,Business and Professional Services > Leather Supplier,11110,Business and Professional Services , Leather Supplier,78.0,Business and Professional Services > Rubber Supplier,11159,74.7,Business and Professional Services > Metals Supplier,11122,74.5,TRUE
retaining_wall_supplier,Business and Professional Services > Metals Supplier,11122,Business and Professional Services , Metals Supplier,65.2,Business and Professional Services > Paper Supplier,11132,63.1,Business and Professional Services > Rubber Supplier,11159,61.9,TRUE
b2b_electronic_equipment,Business and Professional Services > Electrical Equipment Supplier,11032,Business and Professional Services , Electrical Equipment Supplier,68.1,Business and Professional Services > Equipment Rental Service,11037,59.6,Retail > Computers and Electronics Retail > Electronics Store,17025,58.1,TRUE
laboratory_equipment_supplier,Business and Professional Services > Industrial Equipment Supplier,11105,Business and Professional Services , Industrial Equipment Supplier,78.6,Business and Professional Services > Electrical Equipment Supplier,11032,78.6,Business and Professional Services > Scientific Equipment Supplier,11161,77.6,TRUE
window_supplier,Business and Professional Services > Home Improvement Service > Garage Door Supplier,11085,Business and Professional Services , Home Improvement Service ,73.2,Business and Professional Services > Paper Supplier,11132,73.0,Business and Professional Services > Electrical Equipment Supplier,11032,72.5,TRUE
aggregate_supplier,Business and Professional Services > Leather Supplier,11110,Business and Professional Services , Leather Supplier,73.4,Business and Professional Services > Paper Supplier,11132,70.3,Business and Professional Services > Rubber Supplier,11159,68.8,TRUE
suicide_prevention_services,Business and Professional Services > Event Service,11038,Business and Professional Services , Event Service,67.4,Business and Professional Services > Pet Service,11133,63.1,Business and Professional Services > Rental Service,11156,62.2,TRUE
elder_care_planning,Dining and Drinking > Bar > Beer Bar,13006,Dining and Drinking , Bar ,49.9,Arts and Entertainment > Gaming Cafe,10018,49.4,Dining and Drinking > Bar > Beer Garden,13007,49.3,TRUE
donation_center,Business and Professional Services > Convention Center,11029,Business and Professional Services , Convention Center,75.9,Sports and Recreation > Recreation Center,18048,75.5,Community and Government > Rehabilitation Center,12093,72.2,TRUE
foster_care_services,Business and Professional Services > Child Care Service,11025,Business and Professional Services , Child Care Service,76.6,Health and Medicine > Home Health Care Service,15012,67.5,Business and Professional Services > Creative Service,11184,66.5,TRUE
crisis_intervention_services,Business and Professional Services > Event Service,11038,Business and Professional Services , Event Service,64.7,Business and Professional Services > Entertainment Service,11036,62.4,Community and Government > Senior Citizen Service,12096,61.7,TRUE
volunteer_association,Retail > Auction House,17004,Retail , Auction House,53.9,Community and Government > Organization > Veterans' Organization,12088,53.3,Travel and Transportation,19000,52.1,TRUE
homeowner_association,Retail > Auction House,17004,Retail , Auction House,53.9,Community and Government > Education,12009,52.1,Retail > Fashion Retail > Women's Store,17052,51.8,TRUE
career_counseling,Business and Professional Services > Financial Service > Credit Counseling and Bankruptcy Service,11050,Business and Professional Services , Financial Service ,77.4,Business and Professional Services > Career Counselor,11023,74.7,Travel and Transportation > Border Crossing,19004,55.6,TRUE
welders,Retail > Fashion Retail > Jewelry Store,17045,Retail , Fashion Retail ,51.1,Retail > Automotive Retail > Car Dealership,17006,49.5,Landmarks and Outdoors > Well,16070,48.4,TRUE
domestic_business_and_trade_organizations,Community and Government > Organization,12082,Community and Government , Organization,64.3,Business and Professional Services > Business Center,11021,63.1,Community and Government > Organization > Veterans' Organization,12088,62.8,TRUE
blood_and_plasma_donation_center,Arts and Entertainment > Bingo Center,10005,Arts and Entertainment , Bingo Center,63.1,Sports and Recreation > Recreation Center,18048,62.5,Arts and Entertainment > Party Center,10034,61.3,TRUE
community_services_non_profits,Community and Government > Community Center,12004,Community and Government , Community Center,65.1,Community and Government > Organization > Social Services Organization,12087,65.1,Community and Government,12000,61.5,TRUE
private_association,Community and Government > Education > Private School,12061,Community and Government , Education ,63.7,Travel and Transportation > Transport Hub > Airport > Private Airport,19041,62.4,Community and Government > Residential Building > Home (private),12123,61.8,TRUE
packaging_contractors_and_service,Travel and Transportation > Transportation Service > Limo Service,19053,Travel and Transportation , Transportation Service ,66.3,Business and Professional Services > Technology Business > IT Service,11108,63.7,Business and Professional Services > Pet Service,11133,62.3,TRUE
kitchen_remodeling,Business and Professional Services > Home Improvement Service > Kitchen Remodeler,11091,Business and Professional Services , Home Improvement Service ,76.5,Retail > Furniture and Home Store > Kitchen Supply Store,17086,55.8,Community and Government > Assisted Living,12117,47.4,TRUE
painting,Sports and Recreation > Skating,18054,Sports and Recreation , Skating,60.0,Travel and Transportation > Parking,19020,56.2,Dining and Drinking,13000,55.2,TRUE
plumbing,Sports and Recreation > Gym and Studio > Climbing Gym,18023,Sports and Recreation , Gym and Studio ,53.6,Business and Professional Services > Home Improvement Service > Plumber,11096,52.4,Landmarks and Outdoors > Rock Climbing Spot,16044,50.1,TRUE
roofing,Sports and Recreation > Water Sports > Surfing,18072,Sports and Recreation , Water Sports ,62.9,Business and Professional Services > Pet Service > Pet Grooming Service,11134,52.2,Landmarks and Outdoors > Hot Spring,16021,51.4,TRUE
closet_remodeling,Retail > Cosmetics Store,17030,Retail , Cosmetics Store,52.9,Retail > Costume Store,17031,49.9,Business and Professional Services > Home Improvement Service > Kitchen Remodeler,11091,49.4,TRUE
demolition_service,Business and Professional Services > Technology Business > IT Service,11108,Business and Professional Services , Technology Business ,71.4,Business and Professional Services > Financial Service > Collections Service,11049,70.0,Travel and Transportation > Transportation Service > Limo Service,19053,69.8,TRUE
excavation_service,Business and Professional Services > Financial Service > Collections Service,11049,Business and Professional Services , Financial Service ,72.5,Business and Professional Services > Translation Service,11171,72.1,Business and Professional Services > Telecommunication Service,11170,72.0,TRUE
tiling,Event > Line,14008,Event , Line,60.4,Sports and Recreation > Skating,18054,57.4,Retail,17000,56.7,TRUE
logging_contractor,Business and Professional Services > Home Improvement Service > Carpet and Flooring Contractor,11079,Business and Professional Services , Home Improvement Service ,78.4,"Business and Professional Services > Home Improvement Service > Heating, Ventilating and Air Conditioning Contractor",11087,78.2,Business and Professional Services > Home Improvement Service > Fence Contractor,11084,75.6,TRUE
well_drilling,Landmarks and Outdoors > Well,16070,Landmarks and Outdoors , Well,68.2,Sports and Recreation > Golf > Golf Driving Range,18019,48.5,Dining and Drinking,13000,48.0,TRUE
stone_and_masonry,Retail > Stationery Store,17131,Retail , Stationery Store,58.2,Retail > Arts and Crafts Store,17003,58.0,Travel and Transportation,19000,57.8,TRUE
boat_builder,Travel and Transportation > Boat or Ferry,19064,Travel and Transportation , Boat or Ferry,55.6,Landmarks and Outdoors > Boat Launch,16055,53.9,Travel and Transportation > Boat Rental,19003,53.3,TRUE
masonry_contractors,Business and Professional Services > Home Improvement Service > Sewer Contractor,11099,Business and Professional Services , Home Improvement Service ,61.9,Business and Professional Services > Home Improvement Service > General Contractor,11086,59.7,Business and Professional Services > Home Improvement Service > Fence Contractor,11084,59.1,TRUE
face_painting,Sports and Recreation > Skating,18054,Sports and Recreation , Skating,54.4,Sports and Recreation > Hunting Area,18079,50.2,Sports and Recreation > Paintball Field,18037,50.1,TRUE
waterproofing,Landmarks and Outdoors > Waterfront,16053,Landmarks and Outdoors , Waterfront,58.6,Sports and Recreation > Water Sports > Surfing,18072,50.4,Landmarks and Outdoors > Hot Spring,16021,47.8,TRUE
siding,Sports and Recreation > Water Sports > Swimming,18073,Sports and Recreation , Water Sports ,52.9,Community and Government > Assisted Living,12117,52.5,Community and Government > Government Building,12064,52.3,TRUE
insulation_installation,Travel and Transportation > Fuel Station,19007,Travel and Transportation , Fuel Station,55.6,Business and Professional Services > Radio Station,11144,55.1,Travel and Transportation > Lodging > Vacation Rental,19019,54.9,TRUE
flooring_contractors,Business and Professional Services > Home Improvement Service > Carpet and Flooring Contractor,11079,Business and Professional Services , Home Improvement Service ,78.0,Business and Professional Services > Home Improvement Service > Fence Contractor,11084,60.5,Business and Professional Services > Home Improvement Service > Sewer Contractor,11099,58.9,TRUE
hvac_supplier,Business and Professional Services > Plastics Supplier,11141,Business and Professional Services , Plastics Supplier,79.0,Business and Professional Services > Refrigeration and Ice Supplier,11154,79.0,Business and Professional Services > Electrical Equipment Supplier,11032,78.4,TRUE
altering_and_remodeling_contractor,Business and Professional Services > Home Improvement Service > Fence Contractor,11084,Business and Professional Services , Home Improvement Service ,67.1,Business and Professional Services > Home Improvement Service > Sewer Contractor,11099,66.9,Business and Professional Services > Home Improvement Service > Carpet and Flooring Contractor,11079,66.1,TRUE
building_contractor,Business and Professional Services > Home Improvement Service > Carpet and Flooring Contractor,11079,Business and Professional Services , Home Improvement Service ,75.3,"Business and Professional Services > Home Improvement Service > Heating, Ventilating and Air Conditioning Contractor",11087,75.3,Business and Professional Services > Home Improvement Service > Fence Contractor,11084,74.1,TRUE
masonry_concrete,Event > Conference,14001,Event , Conference,53.3,Retail > Furniture and Home Store > Carpet Store,17083,52.7,Retail > Discount Store,17034,52.3,TRUE
septic_services,Business and Professional Services > Pet Service,11133,Business and Professional Services , Pet Service,75.9,Business and Professional Services > Repair Service,11157,74.7,Business and Professional Services > Technology Business > IT Service,11108,74.6,TRUE
hvac_services,Business and Professional Services,11000,Business and Professional Services,,79.0,Business and Professional Services > Health and Beauty Service > Hair Removal Service,11067,76.7,Community and Government > Organization > Social Services Organization,12087,76.5,TRUE
bathroom_remodeling,Community and Government > Public Bathroom,12092,Community and Government , Public Bathroom,63.4,Business and Professional Services > Home Improvement Service > Bathroom Contractor,11077,60.7,Business and Professional Services > Home Improvement Service > Kitchen Remodeler,11091,48.6,TRUE
childproofing,Retail > Fashion Retail > Children's Clothing Store,17042,Retail , Fashion Retail ,49.8,Sports and Recreation > Water Sports > Surfing,18072,49.0,Landmarks and Outdoors > Hot Spring,16021,49.0,TRUE
builders,Landmarks and Outdoors > Bridge,16006,Landmarks and Outdoors , Bridge,49.9,Community and Government > Government Building,12064,49.9,Retail > Boutique,17020,48.8,TRUE
drywall_services,Business and Professional Services > Rental Service,11156,Business and Professional Services , Rental Service,72.7,Business and Professional Services,11000,72.6,Business and Professional Services > Laundry Service,11069,72.4,TRUE
vocal_coach,Community and Government > Social Club,12097,Community and Government , Social Club,49.8,Travel and Transportation > Cable Car,19065,49.1,Landmarks and Outdoors > Volcano,16051,46.2,TRUE
science_schools,Arts and Entertainment > Museum > Science Museum,10031,Arts and Entertainment , Museum ,66.2,Community and Government > Education > College and University > College Science Building,12036,62.2,Sports and Recreation > Water Sports > Swimming > Swim School,18076,59.0,TRUE
cardio_classes,Retail > Fashion Retail > Sunglasses Store,17049,Retail , Fashion Retail ,54.0,Health and Medicine > Physician > Cardiologist,15029,53.7,Retail > Automotive Retail > Car Dealership > Classic and Antique Car Dealership,17007,48.2,TRUE
law_schools,Community and Government > Education > College and University > Law School,12044,Community and Government , Education ,77.6,Arts and Entertainment > Samba School,10050,63.2,Community and Government > Education > Art School,12011,60.5,TRUE
child_care_and_day_care,Business and Professional Services > Child Care Service,11025,Business and Professional Services , Child Care Service,75.7,Business and Professional Services > Child Care Service > Daycare,11026,70.9,Business and Professional Services > Health and Beauty Service > Skin Care Clinic,11072,53.7,TRUE
cpr_classes,Landmarks and Outdoors > Castle,16011,Landmarks and Outdoors , Castle,49.0,Retail > Automotive Retail > Car Parts and Accessories,17011,47.0,Sports and Recreation > Soccer > Soccer Club,18063,46.1,TRUE
wine_tasting_classes,Dining and Drinking > Bar > Wine Bar,13025,Dining and Drinking , Bar ,57.2,Retail > Food and Beverage Retail > Wine Store,17080,54.1,Arts and Entertainment > Gaming Cafe,10018,52.5,TRUE
tutoring_center,Business and Professional Services > Tutoring Service,11172,Business and Professional Services , Tutoring Service,72.6,Arts and Entertainment > Bingo Center,10005,71.4,Business and Professional Services > Distribution Center,11031,70.2,TRUE
architecture_schools,Business and Professional Services > Architecture Firm,11003,Business and Professional Services , Architecture Firm,77.5,Community and Government > Education > Art School,12011,63.6,Community and Government > Education > Circus School,12012,61.3,TRUE
parenting_classes,Arts and Entertainment > Gaming Cafe,10018,Arts and Entertainment , Gaming Cafe,54.6,Sports and Recreation > Hunting Area,18079,52.3,Retail > Sporting Goods Retail,17117,49.7,TRUE
speech_training,Community and Government > Education > Computer Training School,12049,Community and Government , Education ,71.1,Travel and Transportation > Train,19066,54.0,Business and Professional Services > Research Station,11158,51.0,TRUE
educational_camp,Community and Government > Education,12009,Community and Government , Education,67.8,Community and Government > Education > Adult Education,12010,62.7,Travel and Transportation > Transport Hub > Airport > International Airport,19040,53.3,TRUE
educational_research_institute,Business and Professional Services > Research Station,11158,Business and Professional Services , Research Station,61.1,Business and Professional Services > Research Laboratory,11192,54.6,Business and Professional Services > Market Research and Consulting Service,11186,53.6,TRUE
self_defense_classes,Retail > Fashion Retail > Fashion Accessories Store,17044,Retail , Fashion Retail ,45.8,Retail > Food and Beverage Retail > Cheese Store,17061,45.5,Retail > Automotive Retail > Car Dealership > Used Car Dealership,17010,44.8,TRUE
life_coach,Event > Line,14008,Event , Line,46.7,Business and Professional Services > Mobile Company,11123,44.8,Business and Professional Services > Home Improvement Service > Fence Contractor,11084,44.8,TRUE
montessori_school,Community and Government > Education > Art School,12011,Community and Government , Education ,66.3,Sports and Recreation > Water Sports > Swimming > Swim School,18076,65.2,Community and Government > Education > Music School,12054,64.7,TRUE
first_aid_class,Retail > Arts and Crafts Store,17003,Retail , Arts and Crafts Store,52.8,Dining and Drinking > Restaurant > Fish and Chips Shop,13051,50.5,Arts and Entertainment > Fair,10017,48.3,TRUE
vocational_and_technical_school,Community and Government > Education > Art School,12011,Community and Government , Education ,68.3,Community and Government > Education > Trade School,12063,64.8,Community and Government > Education > Music School,12054,63.3,TRUE
educational_services,Business and Professional Services > Rental Service,11156,Business and Professional Services , Rental Service,69.1,Business and Professional Services > Financial Service > Collections Service,11049,69.0,Business and Professional Services,11000,68.5,TRUE
cooking_classes,Dining and Drinking > Restaurant > Turkish Restaurant > Turkish Home Cooking Restaurant,13373,Dining and Drinking , Restaurant ,64.8,Business and Professional Services > Office > Coworking Space,11128,51.2,Community and Government > Polling Place,12116,50.2,TRUE
business_schools,Business and Professional Services > Business Service,11182,Business and Professional Services , Business Service,70.7,Business and Professional Services > Business Center,11021,70.3,Business and Professional Services > Financial Service > Business Broker,11047,70.0,TRUE
engineering_schools,Community and Government > Education > College and University > College Engineering Building,12025,Community and Government , Education ,71.4,Community and Government > Education > Driving School,12051,61.5,Business and Professional Services > Engineer,11034,60.4,TRUE
charter_school,Community and Government > Education > Art School,12011,Community and Government , Education ,76.0,Travel and Transportation > Transportation Service > Charter Bus,19052,74.3,Community and Government > Education > Private School,12061,72.2,TRUE
after_school_program,Community and Government > Education > Art School,12011,Community and Government , Education ,61.9,Community and Government > Education > Private School,12061,59.4,Community and Government > Education > College and University > Law School,12044,59.2,TRUE
research_institute,Business and Professional Services > Research Station,11158,Business and Professional Services , Research Station,69.1,Business and Professional Services > Market Research and Consulting Service,11186,63.6,Business and Professional Services > Research Laboratory,11192,60.8,TRUE
waldorf_school,Community and Government > Education > Art School,12011,Community and Government , Education ,71.1,Community and Government > Education > College and University > Law School,12044,70.3,Community and Government > Education > Trade School,12063,68.5,TRUE
school_district_offices,Business and Professional Services > Office,11124,Business and Professional Services , Office,57.3,Health and Medicine > Physician > Doctor's Office,15031,57.3,Community and Government > Education > Primary and Secondary School > High School,12059,56.1,TRUE
massage_school,Community and Government > Education > Language School,12053,Community and Government , Education ,73.3,Business and Professional Services > Health and Beauty Service > Massage Clinic,11070,71.5,Community and Government > Education > College and University > Law School,12044,69.5,TRUE
tasting_classes,Arts and Entertainment > Gaming Cafe,10018,Arts and Entertainment , Gaming Cafe,55.3,Retail > Fashion Retail > Sunglasses Store,17049,52.5,Retail > Sporting Goods Retail,17117,50.8,TRUE
cycling_classes,Business and Professional Services > Recycling Facility,11153,Business and Professional Services , Recycling Facility,55.2,Community and Government > Education > College and University > College Classroom,12022,52.0,Community and Government > Polling Place,12116,51.8,TRUE
student_union,Community and Government > Education > College and University > Student Center,12047,Community and Government , Education ,70.7,Business and Professional Services > Financial Service > Banking and Finance > Credit Union,11051,65.1,Community and Government > Organization > Labor Union,12120,61.4,TRUE
childbirth_education,Community and Government > Education,12009,Community and Government , Education,79.5,Community and Government > Education > Adult Education,12010,71.4,Community and Government > Education > College and University > College Communications Building,12023,56.2,TRUE
computer_coaching,Community and Government > Education > Computer Training School,12049,Community and Government , Education ,71.4,Business and Professional Services > Computer Repair Service,11027,65.2,Retail > Computers and Electronics Retail,17023,54.5,TRUE
college_counseling,Business and Professional Services > Financial Service > Credit Counseling and Bankruptcy Service,11050,Business and Professional Services , Financial Service ,72.1,Community and Government > Education > College and University > College Gym,12027,67.2,Community and Government > Education > College and University > College Lab,12030,67.2,TRUE
specialty_school,Community and Government > Education > College and University > Medical School,12045,Community and Government , Education ,68.4,Community and Government > Education > College and University > Law School,12044,67.9,Community and Government > Education > Art School,12011,67.8,TRUE
cosmetology_school,Community and Government > Education > Primary and Secondary School > High School,12059,Community and Government , Education ,64.3,Community and Government > Education > Art School,12011,64.0,Community and Government > Education > College and University > Law School,12044,63.8,TRUE
cooking_school,Community and Government > Education > Driving School,12051,Community and Government , Education ,72.2,Community and Government > Education > Primary and Secondary School > High School,12059,70.6,Community and Government > Education > Computer Training School,12049,70.1,TRUE
coach_bus,Travel and Transportation > Transportation Service > Charter Bus,19052,Travel and Transportation , Transportation Service ,57.1,Travel and Transportation > Transport Hub > Bus Stop,19043,54.3,Travel and Transportation > Transportation Service > Public Transportation > Bus Line,19067,53.2,TRUE
board_of_education_offices,Community and Government > Education,12009,Community and Government , Education,73.8,Community and Government > Education > Adult Education,12010,62.6,Retail > Board Store,17017,60.7,TRUE
swimming_instructor,Sports and Recreation > Water Sports > Scuba Diving Instructor,18071,Sports and Recreation , Water Sports ,76.3,Sports and Recreation > Water Sports > Swimming,18073,75.6,Sports and Recreation > Water Sports > Swimming > Swimming Club,18074,67.9,TRUE
firearm_training,Community and Government > Education > Computer Training School,12049,Community and Government , Education ,67.5,Retail > Fireworks Store,17053,52.0,Retail > Framing Store,17081,51.8,TRUE
florist,Landmarks and Outdoors > Forest,16015,Landmarks and Outdoors , Forest,59.1,Retail > Flower Store,17056,58.2,Health and Medicine > Podiatrist,15051,55.1,TRUE
political_party_office,Business and Professional Services > Office,11124,Business and Professional Services , Office,69.8,Business and Professional Services > Legal Service > Law Office,11112,61.4,Community and Government > Government Building > Post Office,12075,60.0,TRUE
party_character,Arts and Entertainment > Party Center,10034,Arts and Entertainment , Party Center,65.6,Retail > Pharmacy,17145,55.9,Health and Medicine > Urgent Care Center,15053,55.4,TRUE
wedding_planning,Business and Professional Services > Wedding Hall,11177,Business and Professional Services , Wedding Hall,68.1,Dining and Drinking,13000,62.7,Dining and Drinking > Bar > Wine Bar,13025,51.0,TRUE
party_bus_rental,Travel and Transportation > Boat Rental,19003,Travel and Transportation , Boat Rental,67.3,Travel and Transportation > Bike Rental,19002,64.5,Retail,17000,60.6,TRUE
photo_booth_rental,Travel and Transportation > Boat Rental,19003,Travel and Transportation , Boat Rental,68.7,Travel and Transportation > Bike Rental,19002,63.0,Travel and Transportation > Toll Booth,19026,61.3,TRUE
wholesale_florist,Retail > Warehouse or Wholesale Store,17139,Retail , Warehouse or Wholesale Store,71.5,Business and Professional Services > Wholesaler,11179,66.3,Retail > Flower Store,17056,55.9,TRUE
balloon_services,Business and Professional Services,11000,Business and Professional Services,,72.6,Business and Professional Services > Legal Service,11111,71.3,Business and Professional Services > Logging Service,11116,70.6,TRUE
installment_loans,Business and Professional Services > Financial Service > Loans Agency,11054,Business and Professional Services , Financial Service ,55.0,Event > Entertainment Event,14003,52.1,Retail > Newsagent,17099,49.8,TRUE
livestock_breeder,Business and Professional Services > Financial Service > Stock Broker,11055,Business and Professional Services , Financial Service ,58.6,Retail > Sporting Goods Retail > Dive Store,17120,50.5,Retail > Food and Beverage Retail > Beer Store,17058,49.3,TRUE
customs_broker,Business and Professional Services > Financial Service > Stock Broker,11055,Business and Professional Services , Financial Service ,72.0,Business and Professional Services > Financial Service > Business Broker,11047,69.5,Retail > Comic Book Store,17022,50.4,TRUE
debt_relief_services,Business and Professional Services > Creative Service,11184,Business and Professional Services , Creative Service,66.2,Business and Professional Services > Rental Service,11156,65.5,Business and Professional Services > Repair Service,11157,65.5,TRUE
farm_insurance,Business and Professional Services > Insurance Agency,11107,Business and Professional Services , Insurance Agency,76.6,Landmarks and Outdoors > Farm,16014,66.7,Retail > Framing Store,17081,55.2,TRUE
atms,Business and Professional Services > Financial Service > Banking and Finance > ATM,11044,Business and Professional Services , Financial Service ,61.5,Retail > Department Store,17033,50.4,Arts and Entertainment > Museum > Art Museum,10028,49.2,TRUE
real_estate_investment,Business and Professional Services > Real Estate Service > Real Estate Agency,11149,Business and Professional Services , Real Estate Service ,72.0,Business and Professional Services > Real Estate Service,11145,70.9,Business and Professional Services > Real Estate Service > Real Estate Development and Title Company,11151,70.9,TRUE
stock_and_bond_brokers,Business and Professional Services > Financial Service > Stock Broker,11055,Business and Professional Services , Financial Service ,66.1,Landmarks and Outdoors,16000,57.2,Travel and Transportation > Lodging > Bed and Breakfast,19010,51.8,TRUE
banks,Business and Professional Services > Financial Service > Banking and Finance > Bank,11045,Business and Professional Services , Financial Service ,63.9,Health and Medicine > Blood Bank,15005,56.9,Landmarks and Outdoors > Bay,16002,50.8,TRUE
alcohol_and_drug_treatment_centers,Community and Government > Addiction Treatment Center,12001,Community and Government , Addiction Treatment Center,69.3,Community and Government > Domestic Abuse Treatment Center,12007,63.8,Sports and Recreation > Recreation Center,18048,58.9,TRUE
alcohol_and_drug_treatment_center,Community and Government > Addiction Treatment Center,12001,Community and Government , Addiction Treatment Center,75.6,Community and Government > Domestic Abuse Treatment Center,12007,73.0,Arts and Entertainment > Bingo Center,10005,65.6,TRUE
bank_equipment_service,Business and Professional Services > Equipment Rental Service,11037,Business and Professional Services , Equipment Rental Service,79.9,Business and Professional Services > Financial Service > Banking and Finance > Bank,11045,78.3,Business and Professional Services > Technology Business > IT Service,11108,68.4,TRUE
lice_treatment,Business and Professional Services > Water Treatment Service,11176,Business and Professional Services , Water Treatment Service,78.4,Community and Government > Addiction Treatment Center,12001,78.4,Community and Government > Domestic Abuse Treatment Center,12007,78.4,TRUE
brokers,Business and Professional Services > Financial Service > Stock Broker,11055,Business and Professional Services , Financial Service ,62.1,Business and Professional Services > Financial Service > Business Broker,11047,60.3,Retail > Bookstore,17018,52.0,TRUE
mortgage_broker,Business and Professional Services > Financial Service > Stock Broker,11055,Business and Professional Services , Financial Service ,63.7,Business and Professional Services > Financial Service > Business Broker,11047,60.7,Retail > Bookstore,17018,52.0,TRUE
mortgage_lender,Retail > Garden Center,17101,Retail , Garden Center,54.6,Arts and Entertainment > Laser Tag Center,10022,54.1,Community and Government > Spiritual Center,12098,48.3,TRUE
home_and_rental_insurance,Business and Professional Services > Insurance Agency,11107,Business and Professional Services , Insurance Agency,67.7,Travel and Transportation > Boat Rental,19003,63.1,Travel and Transportation > Bike Rental,19002,61.7,TRUE
check_cashing_payday_loans,Business and Professional Services > Financial Service > Check Cashing Service,11048,Business and Professional Services , Financial Service ,70.4,Business and Professional Services > Financial Service > Loans Agency,11054,47.4,Business and Professional Services > Automotive Service > Smog Check Shop,11014,46.4,TRUE
