OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_Primary
face_painting,Construction & Contractors,Construction & Contractors,Business and Professional Services
waterproofing,Construction & Contractors,Construction & Contractors,Business and Professional Services
siding,Construction & Contractors,Construction & Contractors,Business and Professional Services
electrician,Construction & Contractors,Construction & Contractors,Business and Professional Services
insulation_installation,Construction & Contractors,Construction & Contractors,Business and Professional Services
flooring_contractors,Construction & Contractors,Construction & Contractors,Business and Professional Services
hvac_supplier,Construction & Contractors,Construction & Contractors,Business and Professional Services
altering_and_remodeling_contractor,Construction & Contractors,Construction & Contractors,Business and Professional Services
building_contractor,Construction & Contractors,Construction & Contractors,Business and Professional Services
masonry_concrete,Construction & Contractors,Construction & Contractors,Business and Professional Services
septic_services,Construction & Contractors,Construction & Contractors,Business and Professional Services
hvac_services,Construction & Contractors,Construction & Contractors,Business and Professional Services
bathroom_remodeling,Construction & Contractors,Construction & Contractors,Business and Professional Services
childproofing,Construction & Contractors,Construction & Contractors,Business and Professional Services
builders,Construction & Contractors,Construction & Contractors,Business and Professional Services
drywall_services,Construction & Contractors,Construction & Contractors,Business and Professional Services
vocal_coach,Education,Education,Community and Government
science_schools,Education,Education,Community and Government
cardio_classes,Education,Exercise/Wellness,Sports and Recreation
law_schools,Education,Education,Community and Government
child_care_and_day_care,Education,Education,Community and Government
cpr_classes,Education,Education,Community and Government
wine_tasting_classes,Education,Education,Community and Government
tutoring_center,Education,Education,Community and Government
boat_rental_and_training,Education,Education,Community and Government
architecture_schools,Education,Education,Community and Government
parenting_classes,Education,Education,Community and Government
middle_school,Education,Education,Community and Government
school,Education,Education,Community and Government
adult_education,Education,Education,Community and Government
flight_school,Education,Education,Community and Government
speech_training,Education,Education,Community and Government
educational_camp,Education,Education,Community and Government
educational_research_institute,Education,Education,Community and Government
self_defense_classes,Education,Exercise/Wellness,Sports and Recreation
day_care_preschool,Education,Education,Community and Government
private_school,Education,Education,Community and Government
life_coach,Education,Education,Community and Government
montessori_school,Education,Education,Community and Government
first_aid_class,Education,Education,Community and Government
vocational_and_technical_school,Education,Education,Community and Government
educational_services,Education,Education,Community and Government
cooking_classes,Education,Education,Community and Government
business_schools,Education,Education,Community and Government
engineering_schools,Education,Education,Community and Government
preschool,Education,Education,Community and Government
library,Education,Education,Community and Government
dui_school,Education,Education,Community and Government
religious_school,Education,Education,Community and Government
charter_school,Education,Education,Community and Government
after_school_program,Education,Education,Community and Government
research_institute,Education,Education,Community and Government
elementary_school,Education,Education,Community and Government
education,Education,Education,Community and Government
waldorf_school,Education,Education,Community and Government
pet_training,Education,Education,Community and Government
high_school,Education,Education,Community and Government
school_district_offices,Education,Education,Community and Government
massage_school,Education,Education,Community and Government
tasting_classes,Education,Education,Community and Government
cycling_classes,Education,Beauty & Wellness,Business and Professional Services
student_union,Education,Education,Community and Government
childbirth_education,Education,Education,Community and Government
language_school,Education,Education,Community and Government
university_housing,Education,Education,Community and Government
music_school,Education,Education,Community and Government
computer_coaching,Education,Education,Community and Government
college_counseling,Education,Education,Community and Government
specialty_school,Education,Education,Community and Government
cosmetology_school,Education,Education,Community and Government
cooking_school,Education,Education,Community and Government
coach_bus,Education,Transportation,Travel and Transportation
board_of_education_offices,Education,Education,Community and Government
college_university,Education,Education,Community and Government
swimming_instructor,Education,Education,Community and Government
firearm_training,Education,Education,Community and Government
photography_classes,Education,Education,Community and Government
furniture_rental_service,Event Services,Event Services,Event
rental_service,Event Services,Event Services,Event
florist,Event Services,Event Services,Event
political_party_office,Event Services,Event Services,Event
party_equipment_rental,Event Services,Event Services,Event
party_character,Event Services,Event Services,Event
wedding_planning,Event Services,Event Services,Event
party_bus_rental,Event Services,Event Services,Event
photo_booth_rental,Event Services,Event Services,Event
event_planning,Event Services,Event Services,Event
dj_service,Event Services,Event Services,Event
party_and_event_planning,Event Services,Event Services,Event
rental_services,Event Services,Event Services,Event
party_bike_rental,Event Services,Event Services,Event
wholesale_florist,Event Services,Event Services,Event
balloon_services,Event Services,Event Services,Event
credit_union,Financial Services,Financial Services,Business and Professional Services
installment_loans,Financial Services,Financial Services,Business and Professional Services
business_banking_service,Financial Services,Financial Services,Business and Professional Services
bank_credit_union,Financial Services,Financial Services,Business and Professional Services
currency_exchange,Financial Services,Financial Services,Business and Professional Services
livestock_breeder,Financial Services,Financial Services,Business and Professional Services
customs_broker,Financial Services,Financial Services,Business and Professional Services
debt_relief_services,Financial Services,Financial Services,Business and Professional Services
farm_insurance,Financial Services,Financial Services,Business and Professional Services
atms,Financial Services,Financial Services,Business and Professional Services
real_estate_investment,Financial Services,Financial Services,Business and Professional Services
insurance_agency,Financial Services,Financial Services,Business and Professional Services
stock_and_bond_brokers,Financial Services,Financial Services,Business and Professional Services
abuse_and_addiction_treatment,Financial Services,Financial Services,Business and Professional Services
banks,Financial Services,Financial Services,Business and Professional Services
water_treatment_equipment_and_services,Financial Services,Financial Services,Business and Professional Services
alcohol_and_drug_treatment_centers,Financial Services,Financial Services,Business and Professional Services
alcohol_and_drug_treatment_center,Financial Services,Financial Services,Business and Professional Services
bank_equipment_service,Financial Services,Financial Services,Business and Professional Services
business_brokers,Financial Services,Financial Services,Business and Professional Services
life_insurance,Financial Services,Financial Services,Business and Professional Services
lice_treatment,Financial Services,Financial Services,Business and Professional Services
tax_office,Financial Services,Financial Services,Business and Professional Services
brokers,Financial Services,Financial Services,Business and Professional Services
pet_insurance,Financial Services,Financial Services,Business and Professional Services
cancer_treatment_center,Financial Services,Financial Services,Business and Professional Services
mortgage_broker,Financial Services,Financial Services,Business and Professional Services
mortgage_lender,Financial Services,Financial Services,Business and Professional Services
home_and_rental_insurance,Financial Services,Financial Services,Business and Professional Services
check_cashing_payday_loans,Financial Services,Financial Services,Business and Professional Services
bail_bonds_service,Financial Services,Financial Services,Business and Professional Services
thai_restaurant,Food & Dining,Food & Dining,Dining and Drinking
hookah_bar,Food & Dining,Food & Dining,Dining and Drinking
ice_cream_and_frozen_yoghurt,Food & Dining,Food & Dining,Dining and Drinking
champagne_bar,Food & Dining,Food & Dining,Dining and Drinking
undersea_hyperbaric_medicine,Food & Dining,Healthcare & Medical,Health and Medicine
halal_restaurant,Food & Dining,Food & Dining,Dining and Drinking
irish_restaurant,Food & Dining,Food & Dining,Dining and Drinking
brasserie,Food & Dining,Food & Dining,Dining and Drinking
public_phones,Food & Dining,Other Services,Business and Professional Services
venezuelan_restaurant,Food & Dining,Food & Dining,Dining and Drinking
eastern_european_restaurant,Food & Dining,Food & Dining,Dining and Drinking
specialty_foods,Food & Dining,Food & Dining,Dining and Drinking
speakeasy,Food & Dining,Food & Dining,Dining and Drinking
scandinavian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
danish_restaurant,Food & Dining,Food & Dining,Dining and Drinking
b2b_food_products,Food & Dining,Business-to-Business,Business and Professional Services
seafood_restaurant,Food & Dining,Food & Dining,Dining and Drinking
fish_restaurant,Food & Dining,Food & Dining,Dining and Drinking
afghan_restaurant,Food & Dining,Food & Dining,Dining and Drinking
barbecue_restaurant,Food & Dining,Food & Dining,Dining and Drinking
pasta_shop,Food & Dining,Food & Dining,Dining and Drinking
honduran_restaurant,Food & Dining,Food & Dining,Dining and Drinking
malaysian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
coffee_and_tea_supplies,Food & Dining,Business-to-Business,Business and Professional Services
european_restaurant,Food & Dining,Food & Dining,Dining and Drinking
vermouth_bar,Food & Dining,Food & Dining,Dining and Drinking
coffee_shop,Food & Dining,Food & Dining,Dining and Drinking
bartender,Food & Dining,Food & Dining,Dining and Drinking
sandwich_shop,Food & Dining,Food & Dining,Dining and Drinking
frozen_foods,Food & Dining,Food & Dining,Dining and Drinking
argentine_restaurant,Food & Dining,Food & Dining,Dining and Drinking
poke_restaurant,Food & Dining,Food & Dining,Dining and Drinking
barre_classes,Food & Dining,Beauty & Wellness,Business and Professional Services
cajun_and_creole_restaurant,Food & Dining,Food & Dining,Dining and Drinking
food_stand,Food & Dining,Food & Dining,Dining and Drinking
texmex_restaurant,Food & Dining,Food & Dining,Dining and Drinking
diner,Food & Dining,Food & Dining,Dining and Drinking
diy_foods_restaurant,Food & Dining,Food & Dining,Dining and Drinking
food_consultant,Food & Dining,Food & Dining,Dining and Drinking
food_and_beverage_exporter,Food & Dining,Food & Dining,Dining and Drinking
gastropub,Food & Dining,Food & Dining,Dining and Drinking
barber,Food & Dining,Food & Dining,Dining and Drinking
cidery,Food & Dining,Food & Dining,Dining and Drinking
puerto_rican_restaurant,Food & Dining,Food & Dining,Dining and Drinking
armenian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
sake_bar,Food & Dining,Food & Dining,Dining and Drinking
topic_publisher,Food & Dining,Food & Dining,Dining and Drinking
food_beverage_service_distribution,Food & Dining,Food & Dining,Dining and Drinking
breakfast_and_brunch_restaurant,Food & Dining,Food & Dining,Dining and Drinking
beer_bar,Food & Dining,Food & Dining,Dining and Drinking
indo_chinese_restaurant,Food & Dining,Food & Dining,Dining and Drinking
egyptian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
belgian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
irish_pub,Food & Dining,Food & Dining,Dining and Drinking
gluten_free_restaurant,Food & Dining,Food & Dining,Dining and Drinking
vietnamese_restaurant,Food & Dining,Food & Dining,Dining and Drinking
cheese_shop,Food & Dining,Food & Dining,Dining and Drinking
cigar_bar,Food & Dining,Food & Dining,Dining and Drinking
cuban_restaurant,Food & Dining,Food & Dining,Dining and Drinking
game_publisher,Food & Dining,Food & Dining,Dining and Drinking
sri_lankan_restaurant,Food & Dining,Food & Dining,Dining and Drinking
beach_bar,Food & Dining,Food & Dining,Dining and Drinking
chicken_restaurant,Food & Dining,Food & Dining,Dining and Drinking
sports_bar,Food & Dining,Food & Dining,Dining and Drinking
south_african_restaurant,Food & Dining,Food & Dining,Dining and Drinking
nicaraguan_restaurant,Food & Dining,Food & Dining,Dining and Drinking
public_bath_houses,Food & Dining,Food & Dining,Dining and Drinking
african_restaurant,Food & Dining,Food & Dining,Dining and Drinking
bistro,Food & Dining,Food & Dining,Dining and Drinking
hawaiian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
fish_and_chips_restaurant,Food & Dining,Food & Dining,Dining and Drinking
restaurant,Food & Dining,Food & Dining,Dining and Drinking
israeli_restaurant,Food & Dining,Food & Dining,Dining and Drinking
dim_sum_restaurant,Food & Dining,Food & Dining,Dining and Drinking
shaved_ice_shop,Food & Dining,Food & Dining,Dining and Drinking
polynesian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
restaurant_equipment_and_supply,Food & Dining,Food & Dining,Dining and Drinking
public_utility_company,Food & Dining,Food & Dining,Dining and Drinking
syrian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
czech_restaurant,Food & Dining,Food & Dining,Dining and Drinking
eat_and_drink,Food & Dining,Food & Dining,Dining and Drinking
drive_thru_bar,Food & Dining,Food & Dining,Dining and Drinking
distillery,Food & Dining,Food & Dining,Dining and Drinking
cafe,Food & Dining,Food & Dining,Dining and Drinking
public_health_clinic,Food & Dining,Food & Dining,Dining and Drinking
basque_restaurant,Food & Dining,Food & Dining,Dining and Drinking
southern_restaurant,Food & Dining,Food & Dining,Dining and Drinking
pop_up_restaurant,Food & Dining,Food & Dining,Dining and Drinking
public_and_government_association,Food & Dining,Food & Dining,Dining and Drinking
publicity_service,Food & Dining,Food & Dining,Dining and Drinking
soul_food,Food & Dining,Food & Dining,Dining and Drinking
restaurant_wholesale,Food & Dining,Food & Dining,Dining and Drinking
food_tours,Food & Dining,Food & Dining,Dining and Drinking
uruguayan_restaurant,Food & Dining,Food & Dining,Dining and Drinking
public_restrooms,Food & Dining,Food & Dining,Dining and Drinking
live_and_raw_food_restaurant,Food & Dining,Food & Dining,Dining and Drinking
scottish_restaurant,Food & Dining,Food & Dining,Dining and Drinking
airport_lounge,Food & Dining,Food & Dining,Dining and Drinking
filipino_restaurant,Food & Dining,Food & Dining,Dining and Drinking
taco_restaurant,Food & Dining,Food & Dining,Dining and Drinking
molecular_gastronomy_restaurant,Food & Dining,Food & Dining,Dining and Drinking
lebanese_restaurant,Food & Dining,Food & Dining,Dining and Drinking
canadian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
salvadoran_restaurant,Food & Dining,Food & Dining,Dining and Drinking
vegan_restaurant,Food & Dining,Food & Dining,Dining and Drinking
kosher_restaurant,Food & Dining,Food & Dining,Dining and Drinking
trinidadian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
pretzels,Food & Dining,Food & Dining,Dining and Drinking
hot_dog_restaurant,Food & Dining,Food & Dining,Dining and Drinking
jamaican_restaurant,Food & Dining,Food & Dining,Dining and Drinking
donuts,Food & Dining,Food & Dining,Dining and Drinking
pie_shop,Food & Dining,Food & Dining,Dining and Drinking
frozen_yoghurt_shop,Food & Dining,Food & Dining,Dining and Drinking
mexican_restaurant,Food & Dining,Food & Dining,Dining and Drinking
poutinerie_restaurant,Food & Dining,Food & Dining,Dining and Drinking
asian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
health_food_restaurant,Food & Dining,Food & Dining,Dining and Drinking
pakistani_restaurant,Food & Dining,Food & Dining,Dining and Drinking
wine_bar,Food & Dining,Food & Dining,Dining and Drinking
theme_restaurant,Food & Dining,Food & Dining,Dining and Drinking
polish_restaurant,Food & Dining,Food & Dining,Dining and Drinking
meat_restaurant,Food & Dining,Food & Dining,Dining and Drinking
bartending_school,Food & Dining,Food & Dining,Dining and Drinking
colombian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
brazilian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
chilean_restaurant,Food & Dining,Food & Dining,Dining and Drinking
hungarian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
comfort_food_restaurant,Food & Dining,Food & Dining,Dining and Drinking
austrian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
gay_bar,Food & Dining,Food & Dining,Dining and Drinking
kurdish_restaurant,Food & Dining,Food & Dining,Dining and Drinking
serbo_croatian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
food_truck,Food & Dining,Food & Dining,Dining and Drinking
tapas_bar,Food & Dining,Food & Dining,Dining and Drinking
pan_asian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
wrap_restaurant,Food & Dining,Food & Dining,Dining and Drinking
bangladeshi_restaurant,Food & Dining,Food & Dining,Dining and Drinking
lounge,Food & Dining,Food & Dining,Dining and Drinking
cambodian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
swiss_restaurant,Food & Dining,Food & Dining,Dining and Drinking
pizza_delivery_service,Food & Dining,Food & Dining,Dining and Drinking
cocktail_bar,Food & Dining,Food & Dining,Dining and Drinking
haitian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
turkish_restaurant,Food & Dining,Food & Dining,Dining and Drinking
soup_restaurant,Food & Dining,Food & Dining,Dining and Drinking
spanish_restaurant,Food & Dining,Food & Dining,Dining and Drinking
arabian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
empanadas,Food & Dining,Food & Dining,Dining and Drinking
public_relations,Food & Dining,Food & Dining,Dining and Drinking
dominican_restaurant,Food & Dining,Food & Dining,Dining and Drinking
popcorn_shop,Food & Dining,Food & Dining,Dining and Drinking
piano_bar,Food & Dining,Food & Dining,Dining and Drinking
whiskey_bar,Food & Dining,Food & Dining,Dining and Drinking
b2b_agriculture_and_food,Food & Dining,Food & Dining,Dining and Drinking
coffee_roastery,Food & Dining,Food & Dining,Dining and Drinking
food_banks,Food & Dining,Food & Dining,Dining and Drinking
fast_food_restaurant,Food & Dining,Food & Dining,Dining and Drinking
restaurant_management,Food & Dining,Food & Dining,Dining and Drinking
noodles_restaurant,Food & Dining,Food & Dining,Dining and Drinking
paraguayan_restaurant,Food & Dining,Food & Dining,Dining and Drinking
korean_restaurant,Food & Dining,Food & Dining,Dining and Drinking
iberian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
food_delivery_service,Food & Dining,Food & Dining,Dining and Drinking
chinese_restaurant,Food & Dining,Food & Dining,Dining and Drinking
bakery,Food & Dining,Food & Dining,Dining and Drinking
taiwanese_restaurant,Food & Dining,Food & Dining,Dining and Drinking
butcher_shop,Food & Dining,Food & Dining,Dining and Drinking
latin_american_restaurant,Food & Dining,Food & Dining,Dining and Drinking
dive_bar,Food & Dining,Food & Dining,Dining and Drinking
panamanian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
costa_rican_restaurant,Food & Dining,Food & Dining,Dining and Drinking
nigerian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
vegetarian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
seafood_wholesaler,Food & Dining,Food & Dining,Dining and Drinking
italian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
patisserie_cake_shop,Food & Dining,Food & Dining,Dining and Drinking
uzbek_restaurant,Food & Dining,Food & Dining,Dining and Drinking
winery,Food & Dining,Food & Dining,Dining and Drinking
chicken_wings_restaurant,Food & Dining,Food & Dining,Dining and Drinking
ecuadorian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
burmese_restaurant,Food & Dining,Food & Dining,Dining and Drinking
australian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
international_restaurant,Food & Dining,Food & Dining,Dining and Drinking
falafel_restaurant,Food & Dining,Food & Dining,Dining and Drinking
caribbean_restaurant,Food & Dining,Food & Dining,Dining and Drinking
delicatessen,Food & Dining,Food & Dining,Dining and Drinking
brewery,Food & Dining,Food & Dining,Dining and Drinking
ethiopian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
russian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
georgian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
flatbread_restaurant,Food & Dining,Food & Dining,Dining and Drinking
health_food_store,Food & Dining,Food & Dining,Dining and Drinking
food_and_beverage_consultant,Food & Dining,Food & Dining,Dining and Drinking
meat_shop,Food & Dining,Food & Dining,Dining and Drinking
buffet_restaurant,Food & Dining,Food & Dining,Dining and Drinking
indian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
food,Food & Dining,Food & Dining,Dining and Drinking
doner_kebab,Food & Dining,Food & Dining,Dining and Drinking
waffle_restaurant,Food & Dining,Food & Dining,Dining and Drinking
tiki_bar,Food & Dining,Food & Dining,Dining and Drinking
japanese_restaurant,Food & Dining,Food & Dining,Dining and Drinking
laotian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
mediterranean_restaurant,Food & Dining,Food & Dining,Dining and Drinking
seafood_market,Food & Dining,Food & Dining,Dining and Drinking
cabaret,Food & Dining,Food & Dining,Dining and Drinking
pub,Food & Dining,Food & Dining,Dining and Drinking
bar_crawl,Food & Dining,Food & Dining,Dining and Drinking
smoothie_juice_bar,Food & Dining,Food & Dining,Dining and Drinking
pizza_restaurant,Food & Dining,Food & Dining,Dining and Drinking
burger_restaurant,Food & Dining,Food & Dining,Dining and Drinking
indonesian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
ice_cream_shop,Food & Dining,Food & Dining,Dining and Drinking
persian_iranian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
fondue_restaurant,Food & Dining,Food & Dining,Dining and Drinking
candy_store,Food & Dining,Food & Dining,Dining and Drinking
german_restaurant,Food & Dining,Food & Dining,Dining and Drinking
bagel_restaurant,Food & Dining,Food & Dining,Dining and Drinking
gelato,Food & Dining,Food & Dining,Dining and Drinking
food_safety_training,Food & Dining,Food & Dining,Dining and Drinking
public_service_and_government,Food & Dining,Food & Dining,Dining and Drinking
public_transportation,Food & Dining,Food & Dining,Dining and Drinking
ukrainian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
salad_bar,Food & Dining,Food & Dining,Dining and Drinking
dumpling_restaurant,Food & Dining,Food & Dining,Dining and Drinking
guatemalan_restaurant,Food & Dining,Food & Dining,Dining and Drinking
french_restaurant,Food & Dining,Food & Dining,Dining and Drinking
bagel_shop,Food & Dining,Food & Dining,Dining and Drinking
bar,Food & Dining,Food & Dining,Dining and Drinking
hotel_bar,Food & Dining,Food & Dining,Dining and Drinking
kombucha,Food & Dining,Food & Dining,Dining and Drinking
oxygen_bar,Food & Dining,Food & Dining,Dining and Drinking
moroccan_restaurant,Food & Dining,Food & Dining,Dining and Drinking
acai_bowls,Food & Dining,Food & Dining,Dining and Drinking
british_restaurant,Food & Dining,Food & Dining,Dining and Drinking
middle_eastern_restaurant,Food & Dining,Food & Dining,Dining and Drinking
caterer,Food & Dining,Food & Dining,Dining and Drinking
public_plaza,Food & Dining,Food & Dining,Dining and Drinking
potato_restaurant,Food & Dining,Food & Dining,Dining and Drinking
pancake_house,Food & Dining,Food & Dining,Dining and Drinking
romanian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
cupcake_shop,Food & Dining,Food & Dining,Dining and Drinking
wok_restaurant,Food & Dining,Food & Dining,Dining and Drinking
bubble_tea,Food & Dining,Food & Dining,Dining and Drinking
food_court,Food & Dining,Food & Dining,Dining and Drinking
tea_room,Food & Dining,Food & Dining,Dining and Drinking
american_restaurant,Food & Dining,Food & Dining,Dining and Drinking
slovakian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
public_school,Food & Dining,Food & Dining,Dining and Drinking
singaporean_restaurant,Food & Dining,Food & Dining,Dining and Drinking
steakhouse,Food & Dining,Food & Dining,Dining and Drinking
greek_restaurant,Food & Dining,Food & Dining,Dining and Drinking
himalayan_nepalese_restaurant,Food & Dining,Food & Dining,Dining and Drinking
public_adjuster,Food & Dining,Food & Dining,Dining and Drinking
portuguese_restaurant,Food & Dining,Food & Dining,Dining and Drinking
public_toilet,Food & Dining,Food & Dining,Dining and Drinking
mongolian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
peruvian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
azerbaijani_restaurant,Food & Dining,Food & Dining,Dining and Drinking
desserts,Food & Dining,Food & Dining,Dining and Drinking
bolivian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
hong_kong_style_cafe,Food & Dining,Food & Dining,Dining and Drinking
public_market,Food & Dining,Food & Dining,Dining and Drinking
bar_and_grill_restaurant,Food & Dining,Food & Dining,Dining and Drinking
asian_fusion_restaurant,Food & Dining,Food & Dining,Dining and Drinking
internet_cafe,Food & Dining,Food & Dining,Dining and Drinking
cheesesteak_restaurant,Food & Dining,Food & Dining,Dining and Drinking
bulgarian_restaurant,Food & Dining,Food & Dining,Dining and Drinking
sushi_restaurant,Food & Dining,Food & Dining,Dining and Drinking
notary_public,Food & Dining,Government & Public Services,Community and Government
senegalese_restaurant,Food & Dining,Food & Dining,Dining and Drinking
imported_food,Food & Dining,Food & Dining,Dining and Drinking
bus_ticket_agency,Government & Public Services,Government & Public Services,Community and Government
fire_department,Government & Public Services,Government & Public Services,Community and Government
emergency_service,Government & Public Services,Government & Public Services,Community and Government
civic_center,Government & Public Services,Government & Public Services,Community and Government
jail_and_prison,Government & Public Services,Government & Public Services,Community and Government
social_security_services,Government & Public Services,Government & Public Services,Community and Government
talent_agency,Government & Public Services,Government & Public Services,Community and Government
police_department,Government & Public Services,Government & Public Services,Community and Government
national_security_services,Government & Public Services,Government & Public Services,Community and Government
local_and_state_government_offices,Government & Public Services,Government & Public Services,Community and Government
non_governmental_association,Government & Public Services,Government & Public Services,Community and Government
freight_forwarding_agency,Government & Public Services,Government & Public Services,Community and Government
government_services,Government & Public Services,Government & Public Services,Community and Government
juvenile_detention_center,Government & Public Services,Government & Public Services,Community and Government
town_hall,Government & Public Services,Government & Public Services,Community and Government
armed_forces_branch,Government & Public Services,Government & Public Services,Community and Government
media_agency,Government & Public Services,Government & Public Services,Community and Government
certification_agency,Government & Public Services,Government & Public Services,Community and Government
passport_and_visa_services,Government & Public Services,Government & Public Services,Community and Government
central_government_office,Government & Public Services,Government & Public Services,Community and Government
estate_liquidation,Government & Public Services,Government & Public Services,Community and Government
federal_government_offices,Government & Public Services,Government & Public Services,Community and Government
state_park,Government & Public Services,Government & Public Services,Community and Government
airline_ticket_agency,Government & Public Services,Government & Public Services,Community and Government
sightseeing_tour_agency,Government & Public Services,Government & Public Services,Community and Government
social_media_agency,Government & Public Services,Government & Public Services,Community and Government
department_of_social_service,Government & Public Services,Government & Public Services,Community and Government
post_office,Government & Public Services,Government & Public Services,Community and Government
embassy,Government & Public Services,Government & Public Services,Community and Government
office_of_vital_records,Government & Public Services,Government & Public Services,Community and Government
social_welfare_center,Government & Public Services,Government & Public Services,Community and Government
general_dentistry,Healthcare & Medical,Healthcare & Medical,Health and Medicine
mohel,Healthcare & Medical,Healthcare & Medical,Health and Medicine
maternity_centers,Healthcare & Medical,Healthcare & Medical,Health and Medicine
dental_laboratories,Healthcare & Medical,Healthcare & Medical,Health and Medicine
sports_psychologist,Healthcare & Medical,Healthcare & Medical,Health and Medicine
emergency_medicine,Healthcare & Medical,Healthcare & Medical,Health and Medicine
cardiologist,Healthcare & Medical,Healthcare & Medical,Health and Medicine
animal_hospital,Healthcare & Medical,Pet Services,Business and Professional Services
midwife,Healthcare & Medical,Healthcare & Medical,Health and Medicine
cosmetic_dentist,Healthcare & Medical,Healthcare & Medical,Health and Medicine
physical_therapy,Healthcare & Medical,Healthcare & Medical,Health and Medicine
pediatric_surgery,Healthcare & Medical,Healthcare & Medical,Health and Medicine
vascular_medicine,Healthcare & Medical,Healthcare & Medical,Health and Medicine
occupational_medicine,Healthcare & Medical,Healthcare & Medical,Health and Medicine
family_counselor,Healthcare & Medical,Healthcare & Medical,Health and Medicine
alternative_medicine,Healthcare & Medical,Healthcare & Medical,Health and Medicine
otologist,Healthcare & Medical,Healthcare & Medical,Health and Medicine
aromatherapy,Healthcare & Medical,Healthcare & Medical,Health and Medicine
rehabilitation_center,Healthcare & Medical,Healthcare & Medical,Health and Medicine
health_market,Healthcare & Medical,Healthcare & Medical,Health and Medicine
lactation_services,Healthcare & Medical,Healthcare & Medical,Health and Medicine
pediatric_orthopedic_surgery,Healthcare & Medical,Healthcare & Medical,Health and Medicine
health_and_medical,Healthcare & Medical,Healthcare & Medical,Health and Medicine
pediatric_pulmonology,Healthcare & Medical,Healthcare & Medical,Health and Medicine
anesthesiologist,Healthcare & Medical,Healthcare & Medical,Health and Medicine
urologist,Healthcare & Medical,Healthcare & Medical,Health and Medicine
pulmonologist,Healthcare & Medical,Healthcare & Medical,Health and Medicine
health_coach,Healthcare & Medical,Healthcare & Medical,Health and Medicine
medical_center,Healthcare & Medical,Healthcare & Medical,Health and Medicine
halotherapy,Healthcare & Medical,Healthcare & Medical,Health and Medicine
pediatric_dentist,Healthcare & Medical,Healthcare & Medical,Health and Medicine
womens_health_clinic,Healthcare & Medical,Healthcare & Medical,Health and Medicine
community_health_center,Healthcare & Medical,Healthcare & Medical,Health and Medicine
optometrist,Healthcare & Medical,Healthcare & Medical,Health and Medicine
pediatric_neurology,Healthcare & Medical,Healthcare & Medical,Health and Medicine
pediatric_radiology,Healthcare & Medical,Healthcare & Medical,Health and Medicine
spine_surgeon,Healthcare & Medical,Healthcare & Medical,Health and Medicine
proctologist,Healthcare & Medical,Healthcare & Medical,Health and Medicine
gastroenterologist,Healthcare & Medical,Healthcare & Medical,Health and Medicine
hepatologist,Healthcare & Medical,Healthcare & Medical,Health and Medicine
ayurveda,Healthcare & Medical,Healthcare & Medical,Health and Medicine
doula,Healthcare & Medical,Healthcare & Medical,Health and Medicine
radiologist,Healthcare & Medical,Healthcare & Medical,Health and Medicine
pediatric_gastroenterology,Healthcare & Medical,Healthcare & Medical,Health and Medicine
fertility,Healthcare & Medical,Healthcare & Medical,Health and Medicine
b2b_medical_support_services,Healthcare & Medical,Healthcare & Medical,Health and Medicine
